"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8"
"ABHD12",2755.16890495015,0.272921496443351,0.0816357710202405,3.34316063941729,0.000828299359933598,0.0268569234784888,"Up"
"ABTB1",288.469387154183,0.919578650259549,0.280700840089467,3.2760096121068,0.00105284977516932,0.0294237662222487,"Up"
"AGBL3",483.034772193377,0.487133421067102,0.137714975309305,3.53725816653571,0.000404304254235204,0.0206587234767224,"Up"
"AGER",58.479286825378,0.720978037352419,0.247112288892544,2.91761304378486,0.00352721769552558,0.0485558408806027,"Up"
"AKTIP",1773.33630183339,0.295206925530505,0.0868791544642537,3.39790283815397,0.000679045323457423,0.0258570611989648,"Up"
"ALDH2",932.541329043843,0.306898426887325,0.0831018718094097,3.69303867897443,0.000221590303999018,0.0165261786485421,"Up"
"ARIH2OS",207.951654039206,0.604282827044486,0.195275663356387,3.09451171056397,0.00197137152129661,0.0384861901059594,"Up"
"ARPC1B",22.8393519228411,1.14546845116845,0.391613161143472,2.92499988464073,0.00344456350865105,0.0478504329418418,"Up"
"ARPC3",3967.7015350115,0.304251832088088,0.0816165582340564,3.72781992614253,0.000193143298260029,0.0151203610637851,"Up"
"ATP5F1E",10148.5033734465,0.627034049868383,0.195440130336516,3.20831780447922,0.00133513873774681,0.0328032917164928,"Up"
"ATP5IF1",7275.0479481319,0.524446769345473,0.141928677018001,3.69514308428985,0.000219762993056782,0.0164874569314743,"Up"
"ATP5MG",2372.24858127984,0.959797768604385,0.291653280619156,3.29088624193362,0.000998722918583223,0.0290766920990994,"Up"
"ATP5MPL",5340.56289476653,0.841028703657085,0.260678937421892,3.22630095079731,0.00125401422959201,0.0319304956561166,"Up"
"ATP5PD",4304.81656552959,0.599533296184852,0.18970857992544,3.16028561502322,0.00157614549499293,0.0354838266208747,"Up"
"ATP5S",1671.58732210792,0.254871848302013,0.0760543991926779,3.35117824882576,0.000804684884015881,0.0268434683223781,"Up"
"ATP6V0E1",5227.54264675663,0.473100231835668,0.131926081269353,3.5861008474112,0.000335659196037138,0.0195863356798708,"Up"
"ATP6V1E1",4244.9335075793,0.535521073227498,0.157128636730357,3.40816979241338,0.000654001863132962,0.0254967276560037,"Up"
"AXDND1",23.8135043745195,1.87285594999156,0.55945825439049,3.3476241261861,0.000815074775738748,0.0268548597210832,"Up"
"BAK1",652.12440753637,0.336459284161493,0.104533834955999,3.21866393118667,0.00128789330618976,0.0321451382532856,"Up"
"BANP",1019.73531611578,0.743698776064365,0.222408043222461,3.34384838465796,0.000826248793392253,0.0268569234784888,"Up"
"BEX2",2548.40679610703,0.693422023645003,0.223496006733454,3.10261482421918,0.00191819118624394,0.0383098495659146,"Up"
"BEX3",11794.904267459,0.534385240907233,0.144477667735281,3.69873939193399,0.000216672931047711,0.0163529678019482,"Up"
"BLCAP",3301.87468167906,0.435348470294391,0.143016878543422,3.04403560424662,0.00233427512669047,0.0406794355199295,"Up"
"BLOC1S1",583.455739346948,0.915717865613645,0.301539699013991,3.03680698962016,0.00239098500676031,0.0406794355199295,"Up"
"BMF",937.243624802586,0.281555001741251,0.0960667936274456,2.93082542999346,0.00338062697128247,0.0477696701319779,"Up"
"BMI1",1193.84744261768,0.36522146250752,0.108192783667215,3.37565455040779,0.000736403186657761,0.0266229907014699,"Up"
"C15orf40",631.337708222131,0.491061967493348,0.127810659500881,3.84210494970463,0.000121983653052363,0.0121888701471769,"Up"
"C16orf91",1530.76038097239,0.378853394656983,0.109058985635736,3.4738393397714,0.000513068140927435,0.0229926226516987,"Up"
"C17orf75",1208.60680709849,0.401492482899136,0.124212327973175,3.23230785100366,0.00122794688183239,0.031715251021753,"Up"
"C19orf18",31.9500454860615,1.6933751673392,0.377826876984491,4.48188117492953,7.39879382369955e-06,0.00282589082890634,"Up"
"C19orf25",1599.83449709266,0.577998898174406,0.194280601743898,2.97507261654628,0.00292919198887771,0.0450598763218542,"Up"
"C1QTNF12",42.3270611132976,1.66003658346715,0.48171907960171,3.44606774728474,0.000568807740747589,0.0242204485283196,"Up"
"C1orf210",789.854347328538,0.429826407654977,0.13215880350173,3.2523479046884,0.00114455833099863,0.0309309169984168,"Up"
"C20orf204",108.197880355543,2.45223252345097,0.580838917612499,4.22188054053044,2.42272508152363e-05,0.00576151451462714,"Up"
"C8orf76",136.754742103873,0.939857447627476,0.316495637098186,2.96957473488302,0.00298212264294472,0.0453945335648252,"Up"
"C9orf116",447.793971148542,0.574914808876157,0.18615429648353,3.0883778657616,0.00201252397962053,0.038709277249964,"Up"
