"Gene","log2FC","rank","in_gene_set"
"BCAM",1.33700884836639,127,FALSE
"SYNGR2",1.32963447746225,128,FALSE
"PPP1R14B",1.32759192896461,129,FALSE
"NUP210",1.32371137212793,130,FALSE
"SLC26A6",1.32294787022076,131,FALSE
"EEF1A2",1.3210489032872,132,FALSE
"LRIG1",1.31909142623794,133,FALSE
"BHLHA15",1.31714844614478,134,FALSE
"FABP5",1.31617180916111,135,FALSE
"IRX4",1.31267237741678,136,FALSE
"MBOAT2",1.30958021875605,137,FALSE
"ARFGEF3",1.30105198474965,138,FALSE
"SMPDL3B",1.29888636972905,139,FALSE
"TP53INP1",1.29671343367391,140,FALSE
"PLPP1",1.29016335110977,141,FALSE
"C9orf152",1.28956371164384,142,FALSE
"ERGIC1",1.28953547883832,143,FALSE
"SMIM22",1.28754841411303,144,FALSE
"CACNA1D",1.28127968936863,145,FALSE
"SLC25A10",1.27643929864866,146,FALSE
"LRFN1",1.27548007500186,147,FALSE
"RPL22L1",1.27325824910481,148,FALSE
"TFF3",1.27215398105489,149,FALSE
"TSPAN13",1.27143693370939,150,FALSE
"TMEM184A",1.27069714567181,151,FALSE
"SMKR1",1.27014195381719,152,FALSE
"FAM83H",1.26855581688353,153,FALSE
"SAPCD2",1.26727338499734,154,TRUE
"TMEFF2",1.26554941154604,155,FALSE
"GGCT",1.26542252144755,156,FALSE
"NPY",1.26502409380989,157,FALSE
"PKIB",1.26229950948228,158,FALSE
"CRACR2B",1.25706570469204,159,FALSE
"MRPL41",1.25705744493285,160,FALSE
"COLEC12",1.25704161481192,161,FALSE
"SBK1",1.25378063488302,162,FALSE
"LUZP2",1.25093268024064,163,FALSE
"ADRB1",1.24827580130393,164,FALSE
"HPX",1.24472407104719,165,FALSE
"BMPR1B",1.23970862686621,166,FALSE
"FFAR2",1.23914761129067,167,FALSE
"NKAIN1",1.23619836893095,168,FALSE
"HSF4",1.23589489408346,169,FALSE
"TM7SF2",1.23458076892971,170,FALSE
"STEAP4",1.22891424903817,171,FALSE
"PPP3CA",1.22024993667123,172,FALSE
"TTLL12",1.21905532975461,173,FALSE
"TRPM8",1.21814501825061,174,FALSE
"CENPN",1.21367340239698,175,FALSE
"NEDD4L",1.21164283264494,176,FALSE
"NUDT8",1.21091796100761,177,FALSE
"HID1",1.2091190717039,178,FALSE
"FAAH",1.2074715023469,179,FALSE
"SYT7",1.20746845571662,180,FALSE
"MRPL12",1.2054590800203,181,FALSE
"BOP1",1.2042550544741,182,FALSE
"HOMER2",1.20386869622838,183,FALSE
"SRMS",1.2013425112044,184,FALSE
"TRPV6",1.20077663108552,185,FALSE
"MPC2",1.1928828126049,186,FALSE
"OR51E1",1.19266823093899,187,FALSE
"ACSS1",1.19215222590807,188,FALSE
"TPD52",1.18750009752023,189,FALSE
"RGS11",1.18724223173753,190,FALSE
"MAPK8IP2",1.18649813273008,191,FALSE
"SYNE4",1.18037659314037,192,FALSE
"SMS",1.17395313149172,193,FALSE
"ADM2",1.16603561980409,194,FALSE
"RALGAPA2",1.16571693416477,195,TRUE
"FAM222A",1.16395154290918,196,FALSE
"NPDC1",1.16109496259508,197,FALSE
"CBLC",1.1580540535963,198,FALSE
"SDK1",1.15653853735639,199,FALSE
"SH3RF1",1.15618241582137,200,FALSE
"CPNE4",1.1555520483519,201,FALSE
"MCRIP2",1.15321384819469,202,FALSE
"CLDN7",1.15315892636902,203,FALSE
"RPS2",1.1485520951037,204,FALSE
"MYBL2",1.14428829145438,205,FALSE
"MYC",1.14338493840101,206,FALSE
"MATK",1.13886072184837,207,FALSE
