"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0009150","purine ribonucleotide metabolic process","31/725","350/18805",0.0885714285714286,2.29735960591133,4.90605350937926,1.57633750706209e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/APRT/SIRT6/MLST8/NDUFS6/SULT2B1/NDUFB10/GALK1/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/NT5C2/SLC25A25/APP/ALDOA/DHTKD1/EP300/GUCY1A1/EFL1/PGAM4",31,"BP",0.0427586206896552,0.0186120712576442
"BP","GO:0042254","ribosome biogenesis","29/725","317/18805",0.0914826498422713,2.37287066246057,4.93638701015376,1.60985128409103e-05,0.00596683498469264,0.00574729913124266,"TRMT112/RPL26L1/RPL24/RPS15/FBLL1/RPL35/RPS19/FAU/NOC4L/PIH1D1/RPS12/SIRT7/PES1/POP7/RPS27A/RPS16/IMP3/CDKN2A/WDR18/BOP1/RPS28/RPS9/EIF5B/RPS19BP1/EXOSC4/GNL3L/HEATR1/EFL1/NGRN",29,"BP",0.04,0.0168572188247806
"BP","GO:0009259","ribonucleotide metabolic process","32/725","371/18805",0.0862533692722372,2.23723394367506,4.81974322050419,1.96684806061051e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/APRT/SIRT6/MLST8/NDUFS6/SULT2B1/NDUFB10/GALK1/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/NT5C2/SLC25A25/APP/ALDOA/DHTKD1/EP300/GUCY1A1/EFL1/ENTPD5/PGAM4",32,"BP",0.0441379310344828,0.0197287955331029
"BP","GO:0048144","fibroblast proliferation","15/725","110/18805",0.136363636363636,3.53699059561129,5.3437653137706,2.0916716392818e-05,0.00596683498469264,0.00574729913124266,"HRAS/BAX/SIRT6/GAS6/E2F1/GPX1/KAT2A/PARP10/EGFR/ZMIZ1/SKI/INCA1/FOSL2/TP53INP1/TRIM32",15,"BP",0.0206896551724138,0.00584950810954533
"BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","15/725","111/18805",0.135135135135135,3.50512581547064,5.30071951199176,2.33385128789735e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA",15,"BP",0.0206896551724138,0.00590268545599575
"BP","GO:0007005","mitochondrion organization","36/725","445/18805",0.0808988764044944,2.09834947694692,4.69547060494929,2.44301086842747e-05,0.00596683498469264,0.00574729913124266,"ATAD3A/BCL2L1/BAX/SIRT7/CLPP/ZNF205/IFI6/NDUFB10/SFN/NDUFB11/SDHAF2/FZD9/CHCHD10/GPX1/RHOT2/HIGD2A/ENDOG/NDUFB9/UQCC3/NDUFB7/TIMM13/ATAD3B/NDUFAF8/BIK/SIVA1/MT-ND2/PARL/MT-ND1/ATP5F1D/MT-ND6/NME3/SQSTM1/SPIRE1/MEF2A/APOOL/EP300",36,"BP",0.0496551724137931,0.0236639191704334
"BP","GO:0009142","nucleoside triphosphate biosynthetic process","16/725","125/18805",0.128,3.32005517241379,5.21146463330218,2.50878171135181e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/NDUFS6/NDUFB10/DTYMK/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA",16,"BP",0.0220689655172414,0.00664716830630152
"BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","15/725","112/18805",0.133928571428571,3.47383004926108,5.25816585124034,2.6004591453597e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA",15,"BP",0.0206896551724138,0.00595586280244616
"BP","GO:0006164","purine nucleotide biosynthetic process","21/725","198/18805",0.106060606060606,2.75099268547544,4.95990844220419,2.75354447899098e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/APRT/NAPRT/NNMT/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/PARP10/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA/GUCY1A1",21,"BP",0.0289655172413793,0.0105291145971816
"BP","GO:0045333","cellular respiration","24/725","245/18805",0.0979591836734694,2.54085855031668,4.86129235832853,2.84178249312886e-05,0.00596683498469264,0.00574729913124266,"NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/ETFB/ARL2/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/UCN/MT-ND6/SLC25A25/ACO2/IDH3A/IREB2",24,"BP",0.0331034482758621,0.013028449880351
"BP","GO:0006754","ATP biosynthetic process","14/725","100/18805",0.14,3.63131034482759,5.28309144970009,2.9005663520705e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/ALDOA",14,"BP",0.0193103448275862,0.00531773464504121
"BP","GO:0046034","ATP metabolic process","23/725","230/18805",0.1,2.59379310344828,4.86997084807316,2.99527960382256e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/SIRT6/MLST8/NDUFS6/NDUFB10/GALK1/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/SLC25A25/APP/ALDOA/DHTKD1/EP300/PGAM4",23,"BP",0.0317241379310345,0.0122307896835948
"BP","GO:0019693","ribose phosphate metabolic process","32/725","379/18805",0.0844327176781003,2.19001000818852,4.68651052757402,2.9970999049559e-05,0.00596683498469264,0.00574729913124266,"ATP5MC2/APRT/SIRT6/MLST8/NDUFS6/SULT2B1/NDUFB10/GALK1/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/NT5C2/SLC25A25/APP/ALDOA/DHTKD1/EP300/GUCY1A1/EFL1/ENTPD5/PGAM4",32,"BP",0.0441379310344828,0.0201542143047062
"BP","GO:0015986","proton motive force-driven ATP synthesis","12/725","77/18805",0.155844155844156,4.0422749664129,5.35664712316864,3.62815836718729e-05,0.0066480279837355,0.006403429213883,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6",12,"BP",0.016551724137931,0.00409465567668173
"BP","GO:0009152","purine ribonucleotide biosynthetic process","18/725","157/18805",0.114649681528662,2.97377553261586,4.97309056764972,3.6296287310196e-05,0.0066480279837355,0.006403429213883,"ATP5MC2/APRT/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA/GUCY1A1",18,"BP",0.0248275862068966,0.0083488433927147
"BP","GO:0048145","regulation of fibroblast proliferation","13/725","90/18805",0.144444444444444,3.74659003831418,5.2301613983938,3.97300444131692e-05,0.0069970720526116,0.0067396310158372,"HRAS/BAX/SIRT6/GAS6/E2F1/PARP10/EGFR/ZMIZ1/SKI/INCA1/FOSL2/TP53INP1/TRIM32",13,"BP",0.0179310344827586,0.00478596118053709
"BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","15/725","117/18805",0.128205128205128,3.32537577365164,5.0524214841094,4.37809519953166e-05,0.00715974925666267,0.00689632288948784,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA",15,"BP",0.0206896551724138,0.00622174953469822
"BP","GO:0010821","regulation of mitochondrion organization","15/725","117/18805",0.128205128205128,3.32537577365164,5.0524214841094,4.37809519953166e-05,0.00715974925666267,0.00689632288948784,"BCL2L1/BAX/SIRT7/ZNF205/IFI6/FZD9/CHCHD10/GPX1/ENDOG/BIK/SIVA1/PARL/SQSTM1/SPIRE1/EP300",15,"BP",0.0206896551724138,0.00622174953469822
"BP","GO:0032543","mitochondrial translation","16/725","132/18805",0.121212121212121,3.14399164054336,4.94991699330432,4.93871022306327e-05,0.00779805314186439,0.0075111418637514,"MRPL51/TSFM/MRPL14/MRPL24/CHCHD1/MRPL27/AURKAIP1/MRPL55/GADD45GIP1/MRPS12/MRPL54/MRPS34/MRPL41/MRPL23/MRPL12/NGRN",16,"BP",0.0220689655172414,0.0070194097314544
"BP","GO:0019646","aerobic electron transport chain","13/725","93/18805",0.139784946236559,3.62573229514275,5.08307745139519,5.64419866111389e-05,0.0086149285564135,0.00829796224212884,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",13,"BP",0.0179310344827586,0.00494549321988833
"BP","GO:0010506","regulation of autophagy","30/725","359/18805",0.0835654596100279,2.16751512822976,4.47253296578881,6.36650892431903e-05,0.00940394979498608,0.00905795327432827,"MAPK15/BCL2L1/WASHC1/SREBF1/MLST8/SNRNP70/CDK5/ENDOG/STK11/PARL/ATP6V0B/TBC1D14/VHL/SQSTM1/ACER2/FYCO1/RAB8A/EXOC7/MID2/RB1CC1/SMCR8/KAT5/SNX18/WNK1/EP300/FOXO3/TP53INP1/TRIM32/ROCK1/UBR4",30,"BP",0.0413793103448276,0.019090667375698
"BP","GO:0046825","regulation of protein export from nucleus","8/725","37/18805",0.216216216216216,5.60820130475303,5.61847197163554,6.71643362835774e-05,0.00961079674507815,0.00925718977066412,"SIRT6/SIRT7/RANGAP1/GAS6/SFN/CDKN2A/CDK5/TPR",8,"BP",0.0110344827586207,0.00196756181866525
"BP","GO:0006119","oxidative phosphorylation","17/725","151/18805",0.112582781456954,2.92016442110071,4.7439031852366,7.46111135271417e-05,0.0103528572375994,0.00997194786853983,"NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/MT-ND6",17,"BP",0.023448275862069,0.00802977931401223
"BP","GO:0009165","nucleotide biosynthetic process","22/725","234/18805",0.094017094017094,2.43860890067787,4.43432926726608,0.000111115125013352,0.0149645928657688,0.014414005380989,"ATP5MC2/APRT/NAPRT/NNMT/NDUFS6/NDUFB10/DTYMK/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/PARP10/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA/GUCY1A1",22,"BP",0.0303448275862069,0.0124434990693964
"BP","GO:0009260","ribonucleotide biosynthetic process","18/725","173/18805",0.104046242774566,2.69874426948376,4.49486062648096,0.000129313688321778,0.0162151811054955,0.0156185811271195,"ATP5MC2/APRT/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA/GUCY1A1",18,"BP",0.0248275862068966,0.0091996809359213
"BP","GO:0042773","ATP synthesis coupled electron transport","13/725","101/18805",0.128712871287129,3.3385455786958,4.71882846232253,0.000133827623275953,0.0162151811054955,0.0156185811271195,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",13,"BP",0.0179310344827586,0.00537091199149162
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","13/725","101/18805",0.128712871287129,3.3385455786958,4.71882846232253,0.000133827623275953,0.0162151811054955,0.0156185811271195,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",13,"BP",0.0179310344827586,0.00537091199149162
"BP","GO:0051168","nuclear export","18/725","174/18805",0.103448275862069,2.68323424494649,4.466794892361,0.000139163017280043,0.0162151811054955,0.0156185811271195,"RPS15/DDX19A/UBE2I/SIRT6/SIRT7/RANGAP1/GAS6/SFN/CDKN2A/CDK5/PABPN1/ALYREF/POM121/TPR/MCM3AP/SMG6/AKAP8L/WNK1",18,"BP",0.0248275862068966,0.00925285828237171
"BP","GO:0006913","nucleocytoplasmic transport","28/725","340/18805",0.0823529411764706,2.13606490872211,4.23314221753971,0.000141648229792492,0.0162151811054955,0.0156185811271195,"RPS15/DDX19A/UBE2I/DMAP1/POLA2/SIRT6/SIRT7/RANGAP1/SPRN/GAS6/SFN/CDKN2A/HYAL2/CDK5/PABPN1/ALYREF/POM121/SQSTM1/TPR/MCM3AP/KPNB1/SMG6/MED1/AKAP8L/WNK1/TNPO3/EP300/SPG11",28,"BP",0.0386206896551724,0.0180802977931401
"BP","GO:0051169","nuclear transport","28/725","340/18805",0.0823529411764706,2.13606490872211,4.23314221753971,0.000141648229792492,0.0162151811054955,0.0156185811271195,"RPS15/DDX19A/UBE2I/DMAP1/POLA2/SIRT6/SIRT7/RANGAP1/SPRN/GAS6/SFN/CDKN2A/HYAL2/CDK5/PABPN1/ALYREF/POM121/SQSTM1/TPR/MCM3AP/KPNB1/SMG6/MED1/AKAP8L/WNK1/TNPO3/EP300/SPG11",28,"BP",0.0386206896551724,0.0180802977931401
"BP","GO:0022904","respiratory electron transport chain","14/725","117/18805",0.11965811965812,3.10368405540819,4.57074449547225,0.00016528037224965,0.0184589957202719,0.0177798397875747,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/ETFB/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",14,"BP",0.0193103448275862,0.00622174953469822
"BP","GO:1905820","positive regulation of chromosome separation","7/725","32/18805",0.21875,5.6739224137931,5.29888579560055,0.00017812682045817,0.0194200645447133,0.0187055483137777,"ANAPC11/BIRC5/AURKB/MAPK15/UBE2C/SMC4/NCAPG2",7,"BP",0.0096551724137931,0.00170167508641319
"BP","GO:0006282","regulation of DNA repair","21/725","227/18805",0.092511013215859,2.39954428072307,4.24810267206381,0.000197556838326201,0.0210375061092018,0.0202634798674855,"TMEM161A/DMAP1/PPP4C/SIRT6/NUDT16L1/SIRT7/TFPT/KMT5C/MGMT/TAF6L/SF3B5/KAT2A/WRAP53/TAF6/SMARCC2/SPIRE1/FBH1/RNF169/TFIP11/EGFR/KAT5",21,"BP",0.0289655172413793,0.0120712576442436
"BP","GO:0046390","ribose phosphate biosynthetic process","18/725","180/18805",0.1,2.59379310344828,4.30244142660984,0.000213281459659463,0.0221958137222882,0.0213791702385921,"ATP5MC2/APRT/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/ALDOA/GUCY1A1",18,"BP",0.0248275862068966,0.00957192236107418
"BP","GO:0015980","energy derivation by oxidation of organic compounds","28/725","352/18805",0.0795454545454545,2.06324451410658,4.03242132651654,0.000251997424459046,0.0256421379243993,0.0246986949352842,"PHKG2/NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/ETFB/ARL2/UQCC3/NDUFB7/MT-CYB/PHLDA2/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/UCN/MT-ND6/SLC25A25/ACO2/IRS1/IDH3A/RB1CC1/IREB2",28,"BP",0.0386206896551724,0.0187184259505451
"BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","10/725","68/18805",0.147058823529412,3.81440162271805,4.65570454643019,0.000262313891713201,0.0261116371772771,0.0251509200521353,"NDUFS6/NDUFB10/NDUFB11/MT-ATP6/NDUFB9/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6",10,"BP",0.0137931034482759,0.00361605955862802
"BP","GO:0051205","protein insertion into membrane","8/725","47/18805",0.170212765957447,4.41496698459281,4.693935137029,0.000389440064652624,0.0373002328957413,0.0359278573425952,"SGTA/EMC9/BAX/TMEM147/NOMO2/EGFR/WNK1/TRAM2",8,"BP",0.0110344827586207,0.00249933528316937
"BP","GO:0022900","electron transport chain","14/725","127/18805",0.110236220472441,2.85929948411621,4.20998874908045,0.000391004843633017,0.0373002328957413,0.0359278573425952,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/ETFB/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",14,"BP",0.0193103448275862,0.00675352299920234
"BP","GO:0042255","ribosome assembly","9/725","60/18805",0.15,3.89068965517241,4.49085758191473,0.000454608024072087,0.0422063825679935,0.0406534966172556,"RPL24/RPS15/RPS19/FAU/BOP1/RPS28/EIF5B/EFL1/NGRN",9,"BP",0.0124137931034483,0.00319064078702473
"BP","GO:0046688","response to copper ion","7/725","37/18805",0.189189189189189,4.9071761416589,4.76375882657543,0.000460868995064353,0.0422063825679935,0.0406534966172556,"MT1X/MAP1LC3A/MT1F/MT-CYB/MT-CO1/MT1G/ATP5F1D",7,"BP",0.0096551724137931,0.00196756181866525
"BP","GO:0035601","protein deacylation","8/725","50/18805",0.16,4.15006896551724,4.46623367159731,0.000600656779512381,0.0531762091602507,0.0512197138840819,"ABHD17A/BRMS1/SIRT6/NNMT/SIRT7/LYPLA2/KAT2A/EP300",8,"BP",0.0110344827586207,0.00265886732252061
