"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0060444","branching involved in mammary gland duct morphogenesis","1/20","23/18805",0.05,40.8804347826087,NA,0.0241915110037818,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0002320","lymphoid progenitor cell differentiation","1/20","24/18805",0.05,39.1770833333333,NA,0.0252306000134682,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0030539","male genitalia development","1/20","24/18805",0.05,39.1770833333333,NA,0.0252306000134682,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","1/20","24/18805",0.05,39.1770833333333,NA,0.0252306000134682,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0060571","morphogenesis of an epithelial fold","1/20","24/18805",0.05,39.1770833333333,NA,0.0252306000134682,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/20","25/18805",0.05,37.61,NA,0.0262686378176178,0.148542892421053,0.112579876361219,"AR",1,"BP"
"GO:0061615","glycolytic process through fructose-6-phosphate","1/20","25/18805",0.05,37.61,NA,0.0262686378176178,0.148542892421053,0.112579876361219,"PGAM2",1,"BP"
"GO:0140896","cGAS/STING signaling pathway","1/20","25/18805",0.05,37.61,NA,0.0262686378176178,0.148542892421053,0.112579876361219,"TREX1",1,"BP"
"GO:0060740","prostate gland epithelium morphogenesis","1/20","26/18805",0.05,36.1634615384615,NA,0.0273056254237756,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0006007","glucose catabolic process","1/20","28/18805",0.05,33.5803571428571,NA,0.0293764540677385,0.14949401664884,0.113300728407542,"PGAM2",1,"BP"
"GO:0035458","cellular response to interferon-beta","1/20","28/18805",0.05,33.5803571428571,NA,0.0293764540677385,0.14949401664884,0.113300728407542,"TREX1",1,"BP"
"GO:0060512","prostate gland morphogenesis","1/20","28/18805",0.05,33.5803571428571,NA,0.0293764540677385,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0003156","regulation of animal organ formation","1/20","29/18805",0.05,32.4224137931035,NA,0.0304102971160767,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0016226","iron-sulfur cluster assembly","1/20","29/18805",0.05,32.4224137931035,NA,0.0304102971160767,0.14949401664884,0.113300728407542,"BOLA2",1,"BP"
"GO:0031163","metallo-sulfur cluster assembly","1/20","29/18805",0.05,32.4224137931035,NA,0.0304102971160767,0.14949401664884,0.113300728407542,"BOLA2",1,"BP"
"GO:0043392","negative regulation of DNA binding","1/20","29/18805",0.05,32.4224137931035,NA,0.0304102971160767,0.14949401664884,0.113300728407542,"ZNF593",1,"BP"
"GO:0071480","cellular response to gamma radiation","1/20","29/18805",0.05,32.4224137931035,NA,0.0304102971160767,0.14949401664884,0.113300728407542,"TREX1",1,"BP"
"GO:0006304","DNA modification","1/20","30/18805",0.05,31.3416666666667,NA,0.0314430939874912,0.14949401664884,0.113300728407542,"TREX1",1,"BP"
"GO:0006359","regulation of transcription by RNA polymerase III","1/20","31/18805",0.05,30.3306451612903,NA,0.0324748456849747,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane","1/20","31/18805",0.05,30.3306451612903,NA,0.0324748456849747,0.14949401664884,0.113300728407542,"CPLX3",1,"BP"
"GO:0060964","regulation of miRNA-mediated gene silencing","1/20","31/18805",0.05,30.3306451612903,NA,0.0324748456849747,0.14949401664884,0.113300728407542,"DND1",1,"BP"
"GO:0042219","modified amino acid catabolic process","1/20","32/18805",0.05,29.3828125,NA,0.0335055532106111,0.14949401664884,0.113300728407542,"ABHD16B",1,"BP"
"GO:0060603","mammary gland duct morphogenesis","1/20","32/18805",0.05,29.3828125,NA,0.0335055532106111,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0099500","vesicle fusion to plasma membrane","1/20","32/18805",0.05,29.3828125,NA,0.0335055532106111,0.14949401664884,0.113300728407542,"CPLX3",1,"BP"
"GO:1900368","regulation of post-transcriptional gene silencing by regulatory ncRNA","1/20","32/18805",0.05,29.3828125,NA,0.0335055532106111,0.14949401664884,0.113300728407542,"DND1",1,"BP"
"GO:0006308","DNA catabolic process","1/20","33/18805",0.05,28.4924242424242,NA,0.0345352175655778,0.14949401664884,0.113300728407542,"TREX1",1,"BP"
"GO:0060147","regulation of post-transcriptional gene silencing","1/20","33/18805",0.05,28.4924242424242,NA,0.0345352175655778,0.14949401664884,0.113300728407542,"DND1",1,"BP"
"GO:0033146","regulation of intracellular estrogen receptor signaling pathway","1/20","34/18805",0.05,27.6544117647059,NA,0.035563839750145,0.14949401664884,0.113300728407542,"AR",1,"BP"
"GO:0046475","glycerophospholipid catabolic process","1/20","34/18805",0.05,27.6544117647059,NA,0.035563839750145,0.14949401664884,0.113300728407542,"ABHD16B",1,"BP"
"GO:0060966","regulation of gene silencing by regulatory ncRNA","1/20","34/18805",0.05,27.6544117647059,NA,0.035563839750145,0.14949401664884,0.113300728407542,"DND1",1,"BP"
"GO:0090151","establishment of protein localization to mitochondrial membrane","1/20","34/18805",0.05,27.6544117647059,NA,0.035563839750145,0.14949401664884,0.113300728407542,"TOMM6",1,"BP"
"GO:2000677","regulation of transcription regulatory region DNA binding","1/20","34/18805",0.05,27.6544117647059,NA,0.035563839750145,0.14949401664884,0.113300728407542,"ZNF593",1,"BP"
"GO:0006298","mismatch repair","1/20","35/18805",0.05,26.8642857142857,NA,0.0365914207636761,0.149835559161605,0.113559581680374,"TREX1",1,"BP"
"GO:0031338","regulation of vesicle fusion","1/20","35/18805",0.05,26.8642857142857,NA,0.0365914207636761,0.149835559161605,0.113559581680374,"CPLX3",1,"BP"
"GO:0035456","response to interferon-beta","1/20","35/18805",0.05,26.8642857142857,NA,0.0365914207636761,0.149835559161605,0.113559581680374,"TREX1",1,"BP"
"GO:0048499","synaptic vesicle membrane organization","1/20","36/18805",0.05,26.1180555555556,NA,0.037617961604631,0.152722493694015,0.115747574168096,"CPLX3",1,"BP"
"GO:0003382","epithelial cell morphogenesis","1/20","37/18805",0.05,25.4121621621622,NA,0.0386434632705643,0.15424911809679,0.116904594768094,"AR",1,"BP"
"GO:0008340","determination of adult lifespan","1/20","37/18805",0.05,25.4121621621622,NA,0.0386434632705643,0.15424911809679,0.116904594768094,"TREX1",1,"BP"
"GO:0006734","NADH metabolic process","1/20","40/18805",0.05,23.50625,NA,0.0417137431802356,0.165116900088432,0.125141229540707,"PGAM2",1,"BP"
"GO:0045454","cell redox homeostasis","1/20","42/18805",0.05,22.3869047619048,NA,0.0437554188261213,0.168793535805669,0.127927732400086,"BOLA2",1,"BP"
"GO:0046461","neutral lipid catabolic process","1/20","42/18805",0.05,22.3869047619048,NA,0.0437554188261213,0.168793535805669,0.127927732400086,"ABHD16B",1,"BP"
"GO:0046464","acylglycerol catabolic process","1/20","42/18805",0.05,22.3869047619048,NA,0.0437554188261213,0.168793535805669,0.127927732400086,"ABHD16B",1,"BP"
"GO:0032197","retrotransposition","1/20","43/18805",0.05,21.8662790697674,NA,0.0447747063400302,0.168793535805669,0.127927732400086,"TREX1",1,"BP"
"GO:0043277","apoptotic cell clearance","1/20","43/18805",0.05,21.8662790697674,NA,0.0447747063400302,0.168793535805669,0.127927732400086,"TREX1",1,"BP"
"GO:0002251","organ or tissue specific immune response","1/20","44/18805",0.05,21.3693181818182,NA,0.0457929616365448,0.171272888010699,0.129806820387056,"TREX1",1,"BP"
"GO:0032196","transposition","1/20","45/18805",0.05,20.8944444444444,NA,0.0468101857060115,0.17236308690198,0.130633076388869,"TREX1",1,"BP"
"GO:0060338","regulation of type I interferon-mediated signaling pathway","1/20","45/18805",0.05,20.8944444444444,NA,0.0468101857060115,0.17236308690198,0.130633076388869,"TREX1",1,"BP"
"GO:0033574","response to testosterone","1/20","46/18805",0.05,20.4402173913044,NA,0.0478263795378817,0.173416261683159,0.131431272012499,"AR",1,"BP"
"GO:0060443","mammary gland morphogenesis","1/20","46/18805",0.05,20.4402173913044,NA,0.0478263795378817,0.173416261683159,0.131431272012499,"AR",1,"BP"
"GO:0000731","DNA synthesis involved in DNA repair","1/20","47/18805",0.05,20.0053191489362,NA,0.0488415441207078,0.175755556494971,0.133204211238294,"TREX1",1,"BP"
"GO:0048806","genitalia development","1/20","48/18805",0.05,19.5885416666667,NA,0.0498556804421487,0.178056001579103,0.134947706459951,"AR",1,"BP"
"GO:0006096","glycolytic process","2/20","97/18805",0.1,19.3865979381443,NA,0.00470960220167585,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0046032","ADP catabolic process","2/20","99/18805",0.1,18.9949494949495,NA,0.00490061058212918,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0019364","pyridine nucleotide catabolic process","2/20","101/18805",0.1,18.6188118811881,NA,0.00509516213409561,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009137","purine nucleoside diphosphate catabolic process","2/20","102/18805",0.1,18.4362745098039,NA,0.0051937621044656,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009181","purine ribonucleoside diphosphate catabolic process","2/20","102/18805",0.1,18.4362745098039,NA,0.0051937621044656,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0072526","pyridine-containing compound catabolic process","2/20","104/18805",0.1,18.0817307692308,NA,0.00539360146593161,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009191","ribonucleoside diphosphate catabolic process","2/20","105/18805",0.1,17.9095238095238,NA,0.00549483727727389,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0046031","ADP metabolic process","2/20","105/18805",0.1,17.9095238095238,NA,0.00549483727727389,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009134","nucleoside diphosphate catabolic process","2/20","108/18805",0.1,17.412037037037,NA,0.00580378780736381,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009135","purine nucleoside diphosphate metabolic process","2/20","117/18805",0.1,16.0726495726496,NA,0.00677741161896037,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
"GO:0009179","purine ribonucleoside diphosphate metabolic process","2/20","117/18805",0.1,16.0726495726496,NA,0.00677741161896037,0.148250828787881,0.112358522870815,"TREX1/PGAM2",2,"BP"
