"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"SRRM2",0.370865528938598,2005,0.0122953509073229,0.0310691311692239
"PHKB",0.366119675456577,2048,6.372482753561e-05,0.000328497507665122
"FKTN",0.360496215293159,2105,2.10313162675013e-07,2.28638474754895e-06
"MAP3K21",0.356066587162952,2140,4.69684449196187e-05,0.000250875851340721
"CDC42SE1",0.353545530760494,2170,0.000817739050400845,0.0030366000796365
"EIF2A",0.352716727864524,2175,1.92172401297075e-05,0.000115672758182991
"SERBP1",0.352230556556244,2182,4.34516464230884e-05,0.000234993334004711
"GEMIN4",0.34891612471032,2216,0.0001102836068741,0.000531973447284889
"CDK12",0.341831138566921,2275,0.000190262300672717,0.000854041253773308
"GDF11",0.341288428462466,2282,0.0363741288243231,0.0779856513894314
"ZBTB45",0.333896167116762,2349,0.0050733648945283,0.0146499358884122
"MTMR4",0.327750778414238,2409,8.30049851228536e-05,0.000414819411208187
"TRIM44",0.31631231165303,2513,0.000419958067991874,0.00170593878871654
"MORC4",0.312081521174526,2548,0.00331314802197683,0.0101546561442941
"IGBP1",0.293515134014751,2740,0.0103734141268001,0.0268782543185637
"PLXNB2",0.291276578881011,2763,0.0434769504475568,0.0903870773438221
"ZNF770",0.288364340702196,2800,0.0152345144313428,0.0373330890543333
"ZFAT",0.28610794645268,2821,4.67279833033284e-06,3.38594121281246e-05
"TGFBRAP1",0.284572470566236,2837,0.0013634380717967,0.0047168569819575
"PLOD1",0.283037917088763,2858,0.0199079162509473,0.0468248521187954
"PIGN",0.282708531654981,2861,0.00334188503751244,0.0102272041090719
"BRPF3",0.28014937525049,2893,0.00218408640429051,0.00709008463551489
"GPHN",0.279652669382112,2895,6.19484884608938e-06,4.30675943888479e-05
"ATP8B2",0.279025118475119,2900,0.0711021750674843,0.134915798936275
"LMAN1",0.276834887101069,2921,0.00377207692318144,0.011358121894002
"HERC6",0.276501938186393,2925,0.0390542627520685,0.0827744413900452
"MAPT",0.275999419529839,2933,0.0561912468840606,0.111583973644058
"PTPRF",0.262828410473055,3098,0.106787965478075,0.187557786026753
"ERCC6",0.260835473767948,3138,0.00148529140248519,0.00508080751625193
"PHRF1",0.255084602304466,3227,0.0132407164552248,0.0330990580880162
"CADPS2",0.252803106077546,3254,0.0138407624811105,0.0343767146885225
"SPG11",0.251867597392186,3264,0.0121603396759689,0.0307881157566065
"MEGF8",0.244035598678473,3385,0.0330555892911764,0.0718372813809679
"TMEM63C",0.238267415875787,3474,0.00153995197195372,0.00523577906092295
"RMND5A",0.236592137176039,3504,0.00173092523283405,0.00580147376008548
"NAA15",0.22760684628321,3632,0.00400153135815906,0.0119460671573242
"ADAR",0.222831255994317,3705,0.00855907895184018,0.0228142829866844
"DCAF1",0.222733033284962,3707,0.00247478746834976,0.00789827637913593
"ARNT2",0.220845497462392,3731,0.075226803989153,0.141291369030909
"AARS2",0.218918429864484,3767,0.00888340559530411,0.0235104816498098
"WIPF2",0.203933593201858,3981,0.00104111893104372,0.00374218822270698
"RBAK",0.197448180304704,4085,0.00876286844874673,0.0232592443366355
"PTGER4",0.196326745096003,4100,0.291374298930575,0.406255699928837
"CAPN5",0.192777153074374,4150,0.287161372710565,0.401769369736608
"EPM2AIP1",0.192451222605081,4157,0.00311761142240337,0.00964156096346264
"USP48",0.190436381213757,4192,0.00810029878191528,0.0217838679011507
"GPR27",0.189800972607204,4204,0.191209592362409,0.29396694777044
"PCDHGB5",0.177008019579434,4406,0.0939450700824728,0.168887297686116
"GTF2I",0.176780122375411,4416,0.101318370955289,0.179723499045425
"ZNF644",0.176068438434517,4427,0.0162939588403214,0.0394945262121217
"TRAPPC10",0.173401886985409,4485,0.0470014890600565,0.0963788020827469
"NCBP1",0.173132186193083,4490,0.010868407819278,0.0280010631747277
"RB1CC1",0.162602981291719,4696,0.0574296496600575,0.11365450818809
"PRKAR2A",0.159724650928295,4744,0.0305109810457496,0.0671182467518875
"PCSK7",0.157498341478499,4784,0.109349091251774,0.191027403929976
"TICRR",0.152022416604577,4893,0.0405040523609459,0.0852109571730102
"TUBGCP4",0.151146677668452,4908,0.0198235447280862,0.0466598088369379
"NOP9",0.141695930499231,5084,0.0944774062067041,0.169693154157701
"DYNC2H1",0.141279320464381,5090,0.137052368268831,0.227973017303505
"WIZ",0.140949880728328,5101,0.0893030709697285,0.161952639236906
"LMBRD2",0.139755510370622,5121,0.137271415729069,0.228170238643449
"NUP88",0.138320913310598,5157,0.0572714649862278,0.113394379611969
"ATRX",0.132149889424802,5293,0.175675170850012,0.276041445693394
"NRDE2",0.131835548848625,5301,0.0145040269971297,0.0358427634920226
"DIAPH2",0.129105118975056,5367,0.177517695074745,0.278190687433387
"NFIC",0.127538431495554,5404,0.351558216212206,0.465930152007505
"INVS",0.125742626053601,5453,0.0874879095485371,0.159408762774195
"WASF2",0.124752511788406,5474,0.161789078501799,0.259039344267908
"U2SURP",0.116181771764157,5647,0.111770882096206,0.194485617256674
"FASTKD2",0.115101743814542,5670,0.24030276781315,0.350239128942205
"TBC1D8B",0.113728732860396,5707,0.216714902010059,0.32367367507315
"PCDHB12",0.112217662110621,5731,0.166604705290587,0.264650321468066
"IBTK",0.112146841806602,5736,0.149574871408255,0.243561949982284
"KDM4C",0.110792643356949,5775,0.142821844463124,0.235136997146739
"SP1",0.10751256493314,5861,0.154585671423746,0.249995843237227
"CREB1",0.105105641008475,5922,0.157432135904125,0.253493368271081
"RAB10",0.102906571745533,5986,0.230843764332809,0.339775386717696
"PPP2R2C",0.0958037585705067,6174,0.517088437425242,0.621505131286685
"CABIN1",0.0952005073822377,6191,0.393693630964004,0.506863111275131
"NOL8",0.0937322968259897,6225,0.127956874196161,0.216168936729049
"WDR35",0.0906041126035571,6314,0.285360293267506,0.399865403231835
"AZI2",0.0857443445688899,6438,0.226733930175288,0.335220035449197
"TTC7B",0.0840607056088867,6483,0.280360588975614,0.3944110941943
"MYO9A",0.0766007208227675,6692,0.423633093161269,0.534641877268072
"LRRC32",0.0760888050630388,6708,0.635945768087202,0.724482053372138
"PODXL",0.0699895001977957,6891,0.715176441594261,0.791705986471746
"DGAT2",0.0673817509807033,6964,0.481140561248548,0.588358311016998
"FBXO11",0.0651182906893784,7033,0.480463925600382,0.587810299095646
"LRP5",0.0637376441934796,7078,0.611097386050662,0.703453210506072
"KMT2E",0.0620836263298483,7134,0.53295401189666,0.635695507558419
"PPP2R5D",0.059449666558884,7204,0.5317814528695,0.634546891278727
"POGK",0.0586668272072113,7230,0.416750792072683,0.528545829280454
"MED12",0.0568285066107332,7275,0.500814185722744,0.606398086905244
"GEMIN5",0.0543228588505542,7361,0.426626134772237,0.537193481962464
"ATG9A",0.0536351084401079,7382,0.622575543734865,0.712950570176611
"DLG1",0.0407720022896876,7850,0.53151622321612,0.634272069299352
"NOS1AP",0.0402269324180108,7866,0.631601369076477,0.720526907224522
"ANKS1B",0.0339308871108548,8120,0.74096484991822,0.811941577006537
"ASAP2",0.0309108435360153,8240,0.781413610982375,0.843080436606506
"KTN1",0.0287474589281818,8337,0.722217401403025,0.797214839888289
"CHTF8",0.0273384420682607,8385,0.671767274554541,0.755296423194764
"MICAL3",0.0263202600382142,8427,0.817770646402562,0.872320702439749
"PANX1",0.0261033162463566,8444,0.784971201591382,0.845675889462047
"CDC5L",0.0252587214162583,8490,0.734159875067176,0.806186803510265
"ZNF354C",0.0252499805726618,8491,0.773941123685346,0.836778726995071
"ZBTB2",0.0235033822113433,8575,0.679517580738282,0.761512422683012
"PRDM1",0.0186766736852844,8792,0.900116458436378,0.934265545877914
