"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","...8","...9"
"FBP2",0.196877505477673,0.693665548628191,3.81446524448132,0.000151639361077369,0.0461817674161127,-0.35948618617015,"Up","'FBP2',"
"SRXN1",0.191134159792371,1.43769472005271,6.03157670250451,2.94954756066467e-09,1.25342052502385e-06,10.0703396333311,"Up","'SRXN1',"
"PRSS50",0.170295177389657,0.0185169444220486,11.1803865705381,2.45657742459477e-26,1.5478979061938e-23,48.8120985102489,"Up","'PRSS50',"
"PTRH1",0.170028170504879,0.852010368392524,5.61402787580813,3.11269944869488e-08,1.23648602230438e-05,7.78058471558963,"Up","'PTRH1',"
"SPINT3",0.10186220870117,0.0501053665117033,4.07133533321862,5.34708481374484e-05,0.0180939408891777,0.624886387436743,"Up","'SPINT3',"
"ECE2",0.0772127914774188,0.559012659423728,3.82130810638736,0.000147596600480176,0.0457124183148179,-0.334050873557881,"Up","'ECE2',"
"OR14I1",0.0671867432703179,0.00730551040907215,5.78337627705888,1.21748086275677e-08,4.94378395670099e-06,8.69171456370331,"Up","'OR14I1',"
"CIDEB",0.0539387768195718,0.00586500068804603,14.6554500362538,2.09220470106642e-41,1.4704175577918e-38,83.2412505598847,"Up","'CIDEB',"
"LRRC24",0.0403112105961673,0.00438321541241757,10.8270284263645,6.16916149461737e-25,3.75763626637144e-22,45.6198195348141,"Up","'LRRC24',"
"OR4N4",0.0156435832366634,0.00170099568170496,4.71596959072619,3.04001295362038e-06,0.00113367666737766,3.35936864673713,"Up","'OR4N4',"
"DEFB112",-0.00885454756811377,0.00319727985825962,-3.86393221396317,0.000124616540641791,0.0392606559853007,-0.174640988935608,"Down","'DEFB112',"
"SPATA31A3",-0.0110891391731386,0.00485138928774025,-5.01306860304932,7.19569854018601e-07,0.000279759573244296,4.74444594258295,"Down","'SPATA31A3',"
"SPATA31A6",-0.0140345304528001,0.00649779769620421,-4.06148130006846,5.57113039063281e-05,0.0185093210232788,0.586006948902472,"Down","'SPATA31A6',"
"OR10R2",-0.0143904495145881,0.00840255709699042,-4.66137918957558,3.92940964571252e-06,0.0014360420491221,3.11334975256156,"Down","'OR10R2',"
"CSH1",-0.0145798686666203,0.00655749384851811,-4.40120859816361,1.2891239093086e-05,0.00461885513623452,1.97740497231603,"Down","'CSH1',"
"OR10G7",-0.01815499632623,0.00845973484773818,-4.21119472899143,2.95912364212448e-05,0.0103984742908732,1.18626089779414,"Down","'OR10G7',"
"CGB1",-0.0194754658158857,0.00914112429250544,-6.70091267203721,5.05384418392767e-11,2.36792037879257e-08,14.0386539779325,"Down","'CGB1',"
"SPATA31A1",-0.0220492403492485,0.0101618619518822,-7.6872628557009,6.77468871563766e-14,3.43871908057908e-11,20.5241868319778,"Down","'SPATA31A1',"
"OC90",-0.0254260115304938,0.013462384507907,-11.3049917862813,7.76277567769459e-27,5.06604285566119e-24,49.9533487884019,"Down","'OC90',"
"FERD3L",-0.0255241557712364,0.0135222263120285,-7.78054722826225,3.49304216979465e-14,1.82366741624736e-11,21.1752200159257,"Down","'FERD3L',"
"CNPY1",-0.0269152921143586,0.0138477694077098,-8.16812345637643,2.08646819868269e-15,1.1213539233685e-12,23.9471463201025,"Down","'CNPY1',"
"KLK9",-0.0299341262758185,0.0167048673723141,-8.79871052230894,1.70986435695255e-17,9.76385981081062e-15,28.6808543315314,"Down","'KLK9',"
"KCNK4",-0.0399618990724787,0.0540852873736568,-3.89877041156835,0.000108390091466907,0.0347475814276279,-0.0431049300716033,"Down","'KCNK4',"
"KCNA6",-0.0456095322571081,0.0406502070027701,-5.98003863839746,3.97533928123702e-09,1.65094033377373e-06,9.77987380851694,"Down","'KCNA6',"
"MYT1L",-0.0487998664798424,0.0275672017484672,-6.0890835173156,2.10880677362111e-09,9.17481575580444e-07,10.3970259780293,"Down","'MYT1L',"
"TNNI3K",-0.0512207258048719,0.0869922464262517,-4.19092760156296,3.2274127451717e-05,0.0111272666212307,1.10380783866108,"Down","'TNNI3K',"
"GPR6",-0.051692767616491,0.0273723310988758,-6.31055628782834,5.65175387904659e-10,2.51889021053216e-07,11.6804253421437,"Down","'GPR6',"
"GFY",-0.107668117598307,0.0590497205735971,-8.21648951319115,1.4571757332637e-15,8.06877944664473e-13,24.3005300758815,"Down","'GFY',"
"HSD17B3",-0.124589999885775,0.217892724727463,-7.43114061974651,4.04390898689768e-13,1.99714456534004e-10,18.7695390001875,"Down","'HSD17B3',"
"TMEFF1",-0.129525769036117,0.412346303901305,-6.46773942951692,2.16846375975582e-10,9.90608457050453e-08,12.6153693929887,"Down","'TMEFF1',"
"SFTA3",-0.138095012696336,0.106087292268959,-15.6810800672817,3.24134321947042e-46,2.36916258597532e-43,94.2450926705378,"Down","'SFTA3',"
"DMP1",-0.177861734354648,0.191486349929551,-5.00063163962359,7.65453908717355e-07,0.000291398734874838,4.68490973428151,"Down","'DMP1',"
"GNAT2",-0.250528150513467,0.223287121669757,-8.80886780150964,1.57912012912375e-17,9.30814907079943e-15,28.7593042852089,"Down","'GNAT2',"
"SP7",-0.254726339693912,0.214360648182509,-6.93626890754229,1.11377308667932e-11,5.355783056024e-09,15.5186587892159,"Down","'SP7',"
"CFAP126",-2.87215957634333,2.55985701991384,-31.0080565222878,1.08960794641369e-123,9.95520300240872e-121,271.589973603084,"Down","'CFAP126',"
