"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"COX6A1",0.176954604080576,4412,0.162003374648563,0.259213183447895
"NDUFB1",0.0738946542720775,6773,0.591276129484862,0.68760784637488
"BLOC1S1",0.0567455563890449,7279,0.600661160994878,0.694874269288222
"COX8A",-0.0109174645228238,10385,0.93183786918965,0.955643929296885
"NDUFAB1",-0.0637754153951047,11697,0.563968997088341,0.66425137112956
"NDUFC2",-0.21164600505348,14247,0.0615278278397252,0.120093963740888
"NDUFS5",-0.230338101438692,14441,0.0365031928223192,0.078206982050979
"UQCR11",-0.445521788851637,16175,0.000636782913462213,0.00244562334163944
"COX14",-0.455222416915948,16215,1.59968292286959e-05,9.82415144585836e-05
