"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0007160","cell-matrix adhesion","45/1239","240/18805",0.036319612590799,2.84579297820823,NA,1.52751964676474e-10,2.69828954376895e-08,1.98084805806267e-08,"NID1/PIK3R1/ACTN1/ITGA2/L1CAM/EFNA5/ACVRL1/ITGB8/BCL2/HOXA7/DUSP3/CX3CL1/ITGA5/ZYX/ACTN2/ITGA8/EMILIN1/CORO1C/ITGA9/SGCE/ITGA7/VCL/SDC4/GPM6B/JAM3/PLAU/AJUBA/ITGB3/LYVE1/ITGA3/CEACAM6/ITGB6/PLEKHA2/FERMT2/SORBS1/ITGB4/MMP14/CCL21/RRAS/FAM107A/MSLN/TRIP6/ANXA2/EFEMP2/COL17A1",45,"BP"
"GO:0061448","connective tissue development","45/1239","291/18805",0.036319612590799,2.34704575522328,NA,7.55578844498638e-08,4.81110436334249e-06,3.53189180800526e-06,"COL27A1/ECM1/CTSK/PBXIP1/PPARG/RARB/ACVRL1/ITGB8/NOTCH1/MSX2/OSR1/PRKG2/SULF2/LTBP3/SH3PXD2B/BMP4/CHST11/WNT5B/CYTL1/NPR2/LARGE1/PPARGC1A/OSR2/HOXB3/FGFR1/ZNF516/TIMP1/ITGB3/PTH1R/COL6A1/RARG/OGN/PDGFD/SIX2/BMP7/ZNF219/PITX1/BMP5/SNAI2/NPPC/SELENOM/GATA3/ACTA2/EFEMP1/ID4",45,"BP"
"GO:0007162","negative regulation of cell adhesion","45/1239","312/18805",0.036319612590799,2.18907152169864,NA,5.80414065369082e-07,2.83781019817955e-05,2.08327191319974e-05,"STAT5A/KANK1/PIK3R1/MYADM/PRKG1/HLA-E/EFNA5/ACVRL1/FXYD5/SEMA5A/NOTCH1/HOXA7/DUSP3/GBP1/CX3CL1/BMP4/PDE5A/CXCL12/CEBPB/CORO1C/CTSG/FZD7/SDC4/FBLN1/HFE/JAM3/MMP2/PRNP/IL1RN/ASCL2/DAB1/VTCN1/VSIR/MMP14/CCL21/ANXA1/SNAI2/FAM107A/ASS1/LGALS3/LGALS1/ANGPT1/C1QTNF1/DAPL1/SCGB1A1",45,"BP"
"GO:0060326","cell chemotaxis","45/1239","325/18805",0.036319612590799,2.10150866083069,NA,1.81681032056515e-06,6.72219818609107e-05,4.93484965450806e-05,"VEGFB/MPP1/PARVA/HOXB9/SEMA5A/NOTCH1/PLEKHG5/CAMK1D/NBL1/EPHB1/PADI2/CX3CL1/TMSB4X/MMP28/CXCL12/F7/MET/EDN3/ITGA9/CTSG/VAV3/FGFR1/PERP/JAM3/MMP2/EDNRB/KIT/S100A12/LPAR1/ANO6/ACKR3/PDGFD/EPHA2/CXCL17/CCL21/ANXA1/S100A8/GAS6/CXCR2/LGALS3/PGF/HSPB1/RARRES2/CXCL13/S100A14",45,"BP"
"GO:0010038","response to metal ion","45/1239","347/18805",0.036319612590799,1.96827180048984,NA,1.04086898697938e-05,0.000275352588053097,0.000202139774282953,"DRD2/TXNIP/SLC25A12/DLG4/BCL2/CYBRD1/TRPC1/RASAL1/CLIC4/CRHBP/UCP2/CALM1/SLC13A2/RASGRP2/CLDN1/CACNA1H/CPNE6/KCNMA1/NFATC4/CASQ2/FABP4/HFE/ASPH/PRNP/KIT/CHP2/ALAD/AQP3/AQP2/TUBA1A/KCNMB1/PENK/S100A8/ATP1A2/TNNC1/HAAO/SDC1/ASS1/KCNK3/SERPINF1/MAOB/PTGS2/CAV1/S100A16/ACTA1",45,"BP"
"GO:0002685","regulation of leukocyte migration","44/1239","236/18805",0.0355125100887813,2.82971505177768,NA,2.9504406309442e-10,4.4879480264029e-08,3.29465870455436e-08,"VEGFB/MSN/RTN4/MPP1/ECM1/PIK3R1/ITGA2/HOXA7/CAMK1D/NBL1/PADI2/CX3CL1/MMP28/CXCL12/F7/EMILIN1/EDN3/PERP/JAM3/ITGB3/LYVE1/ASCL2/KITLG/IL33/CD81/PYCARD/ELANE/ANO6/PDGFD/CNN2/BMP5/MMP14/CHST2/CXCL17/CD200/CCL21/ANXA1/GAS6/CXCR2/LGALS3/PGF/RARRES2/CXCL13/S100A14",44,"BP"
"GO:0033002","muscle cell proliferation","44/1239","251/18805",0.0355125100887813,2.66060857457981,NA,2.2199696824084e-09,2.33779884247469e-07,1.71620733140034e-07,"TBX5/NDC80/PIK3R1/ITGA2/PPARG/PRKG1/IL18/NOTCH1/NR4A3/EPHB1/CX3CL1/BMP4/DDR2/GPER1/PPARGC1A/GNAI2/FGFR1/YAP1/IGFBP3/MYOCD/FES/MMP2/TGFB3/ITGB3/TBX2/RBPMS2/TGFBR3/OGN/ELANE/SERPINF2/PDGFD/ID2/NDRG4/TPM1/CAV2/FGFR2/NPPC/PTGS2/NDRG2/ANGPT1/EFEMP2/GJA1/CNN1/RBP4",44,"BP"
"GO:0003018","vascular process in circulatory system","44/1239","278/18805",0.0355125100887813,2.40220414467458,NA,5.28290177106994e-08,3.44394882123559e-06,2.52824584758347e-06,"CLDN5/AKAP12/PDE2A/VSTM4/SLC8A1/PRKG1/AMOT/SLC2A4/ADD3/ADRA1D/ADRA1A/GPER1/EDN3/ITGA9/ABCC3/KCNMA1/SCNN1B/ACE/SLCO3A1/ATP2A3/MMP2/EDNRB/SLC24A3/SLC38A5/SLC7A5/ATP2B4/P2RX1/EDNRA/RGS2/SERPINF2/FERMT2/SCPEP1/KCNJ8/ABCG2/KCNMB1/ATP1A2/CXCR2/NPPC/PTGS2/ANGPT1/ACTA2/CAV1/MFSD2A/HBB",44,"BP"
"GO:0071559","response to transforming growth factor beta","44/1239","315/18805",0.0355125100887813,2.12004048323661,NA,1.86132090159838e-06,6.75006175970381e-05,4.95530465193742e-05,"CDH3/CLDN5/SPRY2/PDE2A/SMAD6/CTSK/PPARG/NR3C1/FNDC4/RASL11B/ACVRL1/ITGB8/LTBP3/CHST11/DDR2/ZYX/RBBP7/ITGA8/LTBP4/EMILIN1/WNT10A/CLDN1/HTRA1/ZFP36L1/GDF10/MYOCD/TGFB3/ITGA3/PEG10/TGFBR3/ITGB6/PDGFD/FERMT2/CDKN1C/NDP/FOLR1/PENK/CAV2/FGFR2/TGFB1I1/DKK3/ACTA2/CAV1/ID1",44,"BP"
"GO:0070371","ERK1 and ERK2 cascade","44/1239","319/18805",0.0355125100887813,2.0934569035095,NA,2.61401895950432e-06,8.89091169083581e-05,6.52692932745799e-05,"DUSP15/VEGFB/SPRY2/AKAP12/DRD2/RAP1A/NOTCH1/DUSP3/GBP1/EPHB1/CX3CL1/BMP4/DUSP5/DDR2/PRKCA/MTURN/ADRA1A/EMILIN1/GPER1/DAB2IP/GNAI2/ZFP36L1/FBLN1/PDGFC/ITGB3/DUSP4/PYCARD/SERPINF2/ACKR3/PDGFD/FERMT2/NDRG4/EPHA2/CXCL17/PSCA/CCL21/RRAS/FGFR2/GAS6/LMO3/NDRG2/ANGPT1/ACTA2/GSTP1",44,"BP"
