"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"MAOA",0.306682961123469,113,0.079623503185066,0.961953958507263
"HSPB1",0.267167112125045,155,0.127819302490738,0.961953958507263
"SREBF1",0.246910081907367,190,0.0549545923700655,0.961137546427122
"EDNRB",0.190134187957253,367,0.130352623687196,0.961953958507263
"INSIG1",0.173317306122193,460,0.154655595422542,0.961953958507263
"KLK15",0.17045608251431,474,0.252391950964813,0.961953958507263
"PHLDA1",0.132306268506424,887,0.205392589507207,0.961953958507263
"ZDHHC24",0.112762012868644,1292,0.051112519606196,0.958910750271067
"SGK1",0.110566411179226,1343,0.526345918105481,0.969216780600122
"CPAMD8",0.107143321354906,1440,0.408269209766613,0.962613387123402
"CAV3",0.103521517773592,1565,0.0956854276308579,0.961953958507263
"VPS37B",0.10038649236271,1666,0.155207978902624,0.961953958507263
"TFRC",0.0964013760881124,1797,0.405917617598006,0.962613387123402
"CSE1L",0.0801431014977716,2512,0.177694406965401,0.961953958507263
"FBXL17",0.065666442348316,3239,0.333171505825907,0.961953958507263
"PHB2",0.064448165336743,3322,0.43604919010272,0.962613387123402
"TSPAN17",0.0549397317882661,3928,0.3689902524717,0.961953958507263
"RNF217",0.052333548160318,4081,0.27648826443212,0.961953958507263
"EDNRA",0.0387335137103504,5081,0.765577551475792,0.988070096138049
"SERINC2",0.0371491196877107,5236,0.737819555812986,0.986318354041964
"HBS1L",0.0356995954569901,5370,0.455273921188769,0.962613387123402
"SENP2",0.0352727835952531,5410,0.494465053764497,0.965419374659541
"VPS54",0.0333230616402518,5572,0.609761438726776,0.974932181681848
"PATL1",0.0296388592061025,5888,0.684878814331157,0.98263152052947
"YIF1B",0.0288755600291708,5945,0.675693007225549,0.982229028624857
"CES5A",0.0163170951463828,7106,0.233693158762984,0.961953958507263
"TRAM1L1",0.0159601945670285,7138,0.89644087587525,0.995443154842405
"TNFRSF4",0.0116552169220652,7549,0.910601011064957,0.996396890482989
"TUBA1C",0.009760497262298,7747,0.928890531517753,0.996624672772691
"CDH22",0.00972462961118581,7750,0.888229113947959,0.995443154842405
"PRRG3",0.00706607598600377,8017,0.691863643221223,0.98263152052947
"LEP",0.00432627157318116,8319,0.866415413163571,0.994615736889418
"B2M",0.00326019359849994,8446,0.978428764277206,0.997885184331778
"SLC1A2",-0.00200347727372585,9135,0.974781621217466,0.997726456533199
"GSX1",-0.002409085176652,9203,0.659640778846778,0.981791940588791
"GLT6D1",-0.00582589717860927,9769,0.511553514418161,0.968247522012059
"EYA4",-0.00643120136795927,9874,0.90160999651879,0.99632022454381
"TAAR9",-0.00646426481209693,9882,0.242375828697087,0.961953958507263
"HTR1A",-0.0132071085180968,11161,0.476834623290019,0.962613387123402
"KIF6",-0.0152833101690792,11567,0.192951704106357,0.961953958507263
"NPHP1",-0.0161491095869392,11723,0.682632866715886,0.98263152052947
"SLC28A2",-0.0180738989383474,12020,0.337151895893695,0.961953958507263
"HTR2A",-0.0192199563956702,12203,0.438885928760328,0.962613387123402
"SEL1L2",-0.0216426845062394,12570,0.19150541011568,0.961953958507263
"SYT5",-0.0258322668288219,13123,0.627399137965205,0.978684211817327
"OTOG",-0.027173314833406,13262,0.151070006976173,0.961953958507263
"RABGGTA",-0.0316826552231526,13715,0.571763808643372,0.973952866602945
"EPS8L3",-0.0387514062468527,14364,0.384810614143259,0.961953958507263
"SPPL2B",-0.0410561497334236,14547,0.638801525266234,0.980271327308636
"NHS",-0.0419733281013941,14615,0.460037119128702,0.962613387123402
"IFITM2",-0.0424311923866778,14645,0.762574156721383,0.988070096138049
"BIRC5",-0.0424371178770477,14646,0.736764865449669,0.986318354041964
"SLC6A6",-0.0440962307371231,14760,0.666981207577769,0.982112758884219
"MYO15A",-0.0450705563724869,14842,0.19408577460899,0.961953958507263
"CST3",-0.0478007644076657,15026,0.690945798428935,0.98263152052947
"SYNE1",-0.0488662635184587,15090,0.556017932445434,0.973115928861459
"CFTR",-0.0558223420347037,15497,0.581323637814967,0.974889403904491
"FASLG",-0.0582390960863783,15635,0.285904455562171,0.961953958507263
"LAPTM5",-0.0590470195202633,15680,0.67416958013187,0.982229028624857
"LPIN2",-0.0613508884065443,15799,0.431099720561789,0.962613387123402
"SMARCB1",-0.0637543493015982,15922,0.185441113338552,0.961953958507263
"CDC25C",-0.073489578167852,16340,0.295677916933209,0.961953958507263
"SLC13A5",-0.0766568434836825,16473,0.0766965338427167,0.961953958507263
"ANXA3",-0.0857313980851266,16734,0.581184925854673,0.974889403904491
"MRGPRF",-0.0925851258032009,16927,0.44437463242803,0.962613387123402
"COLEC12",-0.100940948198302,17119,0.489591581010539,0.963535743091324
"DCSTAMP",-0.100979830203402,17120,0.0260037930851516,0.845493436023088
"BTN3A2",-0.132601003573235,17592,0.211924381910476,0.961953958507263
"COL3A1",-0.133577773349312,17604,0.479505569180151,0.962613387123402
"TYROBP",-0.156924828877196,17829,0.270324270709583,0.961953958507263
"GABBR1",-0.183220246632749,17994,0.136265678949738,0.961953958507263
"TSPAN11",-0.222970366590147,18109,0.0124401463572926,0.748745972802155
