"Gene","log2FC","rank","in_gene_set"
"LMNTD2",0.55761080657639,146,FALSE
"RPS27A",0.557104592791068,147,FALSE
"RAC3",0.557052938004198,148,FALSE
"KLK2",0.555242519801141,149,FALSE
"LSM7",0.555211172294162,150,FALSE
"SMIM4",0.555031712704064,151,TRUE
"CITED4",0.554953132254249,152,FALSE
"SNRNP70",0.553363964876101,153,FALSE
"CSRP3",0.553005879703946,154,FALSE
"GNG5",0.551041958625163,155,FALSE
"SMIM1",0.55015676541291,156,FALSE
"PPP1R16A",0.549164636263188,157,FALSE
"TMUB1",0.548773767535578,158,FALSE
"AURKAIP1",0.54847203528255,159,FALSE
"RPL23A",0.548347294335382,160,FALSE
"MAPK8IP2",0.548261382766964,161,FALSE
"RPL18A",0.54807497983165,162,FALSE
"EEF1D",0.546295652585478,163,FALSE
"BST2",0.545933181404854,164,FALSE
"RHOV",0.545019736644755,165,FALSE
"CDR1",0.544522096749874,166,FALSE
"RPS26",0.543864815127493,167,FALSE
"RPLP1",0.543696519949206,168,FALSE
"ZNF467",0.543279576474233,169,FALSE
"NAA10",0.542933550398952,170,FALSE
"RPS19",0.542789705045102,171,FALSE
"LRFN4",0.542267574702161,172,FALSE
"MST1",0.542080618202937,173,FALSE
"BIN1",0.541392855227452,174,FALSE
"RASSF7",0.540604238097123,175,FALSE
"TBX1",0.539714880100121,176,FALSE
"PGGHG",0.539261911301158,177,FALSE
"RPL7",0.539102183511428,178,FALSE
"NUDT16L1",0.539030848383546,179,FALSE
"CCDC78",0.538221242879826,180,FALSE
"LAMTOR4",0.538091507720766,181,FALSE
"ECHDC3",0.537858364991418,182,FALSE
"MYH2",0.537849456726219,183,FALSE
"PTGES2",0.537522917235362,184,FALSE
"G0S2",0.535375002175815,185,FALSE
"MRPS34",0.534517400791104,186,FALSE
"D2HGDH",0.533973047698392,187,FALSE
"CCDC107",0.53306760276875,188,FALSE
"RPS27",0.53199988755634,189,FALSE
"DUSP23",0.531403290755663,190,FALSE
"PKP3",0.530947333527734,191,FALSE
"FAM89B",0.53050947954809,192,FALSE
"CYP2E1",0.529603596577864,193,FALSE
"TELO2",0.528348833405523,194,FALSE
"ARL16",0.526570072109734,195,FALSE
"C9orf16",0.525585904643441,196,FALSE
"CCDC124",0.525165043625037,197,FALSE
"PRAC1",0.524938534734809,198,FALSE
"DPM3",0.52480890886972,199,FALSE
"COX5B",0.524003806836907,200,FALSE
"ZNF580",0.52360604414044,201,FALSE
"RPS15",0.523510822218015,202,FALSE
"CEBPD",0.523363648524409,203,FALSE
"RPS29",0.522605908207657,204,FALSE
"SLC25A10",0.522379051833758,205,FALSE
"C4orf48",0.520130752694132,206,FALSE
"FSTL3",0.519825823857574,207,FALSE
"COX7C",0.518891805952397,208,FALSE
"SHROOM1",0.518488244645418,209,FALSE
"CLEC11A",0.518084107228636,210,FALSE
"CLEC3B",0.515784232594211,211,FALSE
"KLF16",0.513709069332932,212,FALSE
"RPL39",0.513350586442371,213,FALSE
"FIS1",0.51217478927311,214,FALSE
"HCFC1R1",0.51141152658187,215,FALSE
"EMC6",0.510310312279588,216,FALSE
"S100P",0.510070951234446,217,FALSE
"OST4",0.509373870802613,218,FALSE
"ATP2A1",0.508339333427299,219,FALSE
"RAB24",0.507738682121105,220,FALSE
"NDUFB7",0.507253315462664,221,FALSE
"PET100",0.506911732563939,222,FALSE
"RPL17",0.506213610696713,223,FALSE
"ANAPC11",0.505765257409479,224,FALSE
"SNRPN",0.504374815006761,225,TRUE
"RPL38",0.504344698873636,226,FALSE
"CEBPB",0.503889982326359,227,FALSE
"MAPK12",0.503683831674976,228,FALSE
"EXOSC4",0.50252470057217,229,FALSE
"TRIAP1",0.502442659853291,230,FALSE
"NRAP",0.502125593098321,231,FALSE
"TSR2",0.502000695312915,232,FALSE
"LIME1",0.501882962977569,233,FALSE
"SOX18",0.501683885454281,234,FALSE
"NDUFB2",0.501326433732888,235,FALSE
"ABHD17A",0.501175376088223,236,FALSE
"APOA1",0.500653148789199,237,FALSE
"GOLGA8B",0.4994537269733,238,FALSE
"SELENOO",0.499121198305767,239,FALSE
"RHOT2",0.499054563173222,240,FALSE
"COX17",0.498928295480159,241,FALSE
"GFER",0.49872981851102,242,FALSE
"DPP7",0.497409591353239,243,FALSE
"CSAD",0.496461792728504,244,FALSE
"STAP2",0.496245947525161,245,FALSE
"ROGDI",0.496132006801365,246,FALSE
"FASTK",0.496099917320186,247,FALSE
"ACTN2",0.495846518023216,248,FALSE
"ADCK5",0.495435747702664,249,FALSE
"CHCHD1",0.49522724955756,250,FALSE
"TPRN",0.494748856569393,251,FALSE
"CCNO",0.494711390043663,252,FALSE
"COX7B",0.494709453913789,253,FALSE
"ECHS1",0.49379633384545,254,FALSE
"RBP4",0.493428023052854,255,FALSE
"DDIT4",0.493228101064838,256,FALSE
"NDUFB6",0.493152098988655,257,FALSE
"C20orf27",0.492577478138243,258,FALSE
"EIF4EBP3",0.492090394203275,259,FALSE
"C8G",0.491752248307159,260,FALSE
"TIMM8B",0.491597468809004,261,FALSE
"FXYD3",0.491339882175379,262,FALSE
"RARRES2",0.491158493594748,263,FALSE
"FBXL15",0.491004655288463,264,FALSE
"PIM3",0.490984111701077,265,FALSE
"CLDN7",0.490943424566628,266,FALSE
"CHTF18",0.490941227549663,267,FALSE
"KLHL41",0.489945533762722,268,FALSE
"PSMG3",0.489912469331605,269,FALSE
"NDUFB3",0.489076047888091,270,FALSE
"PWWP2B",0.489021510492493,271,FALSE
