"Gene","log2FC","rank","in_gene_set"
"BIN1",0.272186160435643,148,FALSE
"NAMPT",0.271108997926298,149,FALSE
"ATP1A2",0.27088738097891,150,FALSE
"UPK3A",0.269717043496184,151,FALSE
"TRDN",0.269071068016295,152,FALSE
"MAOB",0.267834640909499,153,FALSE
"KCNH2",0.267444137266668,154,FALSE
"HSPB1",0.267167112125045,155,FALSE
"EFEMP1",0.267087501186225,156,FALSE
"CLDN7",0.266668691516409,157,FALSE
"ARHGEF37",0.266492113181972,158,FALSE
"SMPX",0.2659149906586,159,FALSE
"HSPB7",0.264255977574712,160,FALSE
"ZBTB16",0.26390214049293,161,TRUE
"CCDC69",0.263848160425284,162,FALSE
"BMPR1B",0.263738013484232,163,FALSE
"DNAJA4",0.263529234786076,164,FALSE
"GPD1L",0.26317281074267,165,FALSE
"SECTM1",0.261786729331111,166,FALSE
"NEB",0.258151090549464,167,FALSE
"ABHD2",0.257857932481312,168,FALSE
"DLX1",0.257792769807779,169,FALSE
"CTXN1",0.257357311903919,170,FALSE
"HSPA1B",0.257080828272038,171,FALSE
"CERS6",0.256754319596969,172,FALSE
"RHOBTB1",0.256374610309642,173,FALSE
"MYZAP",0.256178638409321,174,FALSE
"MYBPC2",0.255098458614043,175,FALSE
"HSPH1",0.254807987476135,176,FALSE
"MYADM",0.253795390578403,177,FALSE
"SLC7A8",0.253196272089856,178,FALSE
"PFKFB3",0.252635991336941,179,FALSE
"CKMT2",0.252553040103524,180,FALSE
"CEBPB",0.25253669387149,181,FALSE
"PTGES",0.252469549197259,182,FALSE
"PIM3",0.252446979610264,183,FALSE
"SCNN1A",0.252267129176301,184,FALSE
"IFT57",0.252259919917515,185,FALSE
"CBLL1",0.250787731460952,186,FALSE
"CCL27",0.24902814455057,187,FALSE
"PFKP",0.248320428618092,188,FALSE
"CTNNA2",0.247770727232035,189,FALSE
"SREBF1",0.246910081907367,190,FALSE
"LMAN1L",0.24635213333534,191,FALSE
"DUSP2",0.24625912730707,192,FALSE
"SOCS2",0.245185677568878,193,FALSE
