"GSEA_ID","Description","background","background_label","Gene","log2FC","rank","core_enrichment","是否为core gene","background_pvalue","background_p.adjust","setSize","enrichmentScore","NES","GSEA_pvalue","GSEA_p.adjust","qvalue","leading_edge","matched_genes"
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","AR",0.771203090379355,22,TRUE,"Yes",8.40097698181967e-05,0.0274126879265698,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","FASN",0.494048182559196,35,TRUE,"Yes",0.0066513429667607,0.573301839771785,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","FKBP5",0.485000129248039,38,TRUE,"Yes",0.00056713011852063,0.136357482312204,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","AKAP12",0.330650689090275,91,TRUE,"Yes",0.0220654625902641,0.843403251480126,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","MAOA",0.306682961123469,113,TRUE,"Yes",0.079623503185066,0.961953958507263,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","ACSL3",0.299300342005483,119,TRUE,"Yes",0.0397711726036012,0.938054891599708,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","KCNH2",0.267444137266668,154,TRUE,"Yes",0.0353663537652845,0.919231625478351,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","ZBTB16",0.26390214049293,161,TRUE,"Yes",0.0647357043054688,0.961953958507263,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","NFIC",0.239652661150015,205,TRUE,"Yes",0.00622119278142796,0.563189386178402,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","DDX21",0.236809488498032,210,TRUE,"Yes",0.0166317702611209,0.834475471687762,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","ALDH1B1",0.217810549408447,257,TRUE,"Yes",0.00829705021660837,0.641543888195339,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","KIAA1549",0.217180864292652,260,TRUE,"Yes",0.019168067938222,0.843403251480126,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","PLXNB3",0.211871040731992,277,TRUE,"Yes",0.0668616336218374,0.961953958507263,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
"BB3_down","BB3_down","CRPCvsHSPC","CRPC vs HSPC","NEK6",0.205481107260323,303,TRUE,"Yes",0.0272578655539366,0.865497709203493,268,0.516666692831595,1.8831735032186,0.000830607969405675,0.000830607969405675,NA,"tags=47%, list=23%, signal=37%",268
